FileSizeKB,ExecName,VLEN,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
2048,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,14.6078,3.4276,3095972.8700,700802.1777,327.8800,1.9913,14.6032,3.4271
2048,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,7.9784,1.6589,3350818.3300,629567.5887,327.8100,2.0282,7.9737,1.6586
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,19.9737,4.2285,3101335.3900,704920.8688,2009.2100,3.0407,19.9646,4.2273
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.4509,1.7035,3118856.3100,762387.1826,465.6000,2.2135,7.4461,1.7037
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.9778,1.5577,3287608.8600,694634.2748,465.1900,2.1757,7.9740,1.5572
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,7.7967,1.4958,3114154.0300,739729.7696,465.1300,2.1663,7.7922,1.4971
4096,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,19.1201,4.6978,3126663.5400,750038.9623,327.8600,2.0298,19.1143,4.6944
4096,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,10.6402,2.0110,3192795.0400,665973.3478,327.8800,2.0262,10.6356,2.0116
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,19.7163,4.5475,3068867.7800,847206.2684,2009.2500,2.9270,19.7058,4.5466
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.7904,1.6174,3168630.7900,704372.4034,465.7700,2.4160,7.7856,1.6184
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.9396,1.6143,3275005.8500,678334.5021,465.4000,2.6608,7.9353,1.6137
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,7.6972,1.7889,3218802.8000,766536.3699,465.3500,2.2107,7.6927,1.7901
8192,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,22.8661,5.5542,2867262.2400,768398.0519,327.8700,2.3223,22.8587,5.5468
8192,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,14.4368,3.0932,3196712.4200,1035244.5785,327.4400,2.4303,14.4320,3.0933
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,19.9044,3.9687,3045005.5800,774913.8490,2008.6600,2.9705,19.8941,3.9687
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.4259,1.8621,3285304.9300,858632.8920,465.0900,2.3668,7.4223,1.8624
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.7743,1.6777,3294328.3000,682207.5805,465.5400,2.4593,7.7707,1.6772
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,7.6994,1.8545,3417083.2500,664312.2190,465.7100,2.2596,7.6952,1.8546
10240,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,23.5368,6.5103,2875722.9500,954545.9643,328.1800,2.0850,23.5317,6.5069
10240,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,15.9978,3.8579,3206747.5700,722806.2406,327.8200,2.1926,15.9935,3.8588
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,20.4179,4.0642,2961583.4700,728140.9915,2008.9700,2.7293,20.4079,4.0636
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.7245,1.6638,3184058.6800,717812.9770,465.4800,2.3387,7.7206,1.6638
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.8280,1.6435,3162355.6000,704275.4626,465.5900,2.1591,7.8240,1.6431
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,7.5100,1.9265,3396176.4100,811719.3309,465.5300,2.2823,7.5063,1.9258
