FileSizeKB,ExecName,VLEN,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,5.5001,3.0215,3240268.6900,655752.4756,465.6200,2.2484,5.4954,3.0218
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,7.8075,1.6045,3197507.1900,751686.2325,465.6500,2.4510,7.8026,1.6038
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,6.4744,2.9814,3181452.8800,615502.9248,465.6300,2.1431,6.4693,2.9813
512,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,5.1806,1.4503,3333919.0000,739590.7947,310.2900,2.0361,5.1766,1.4510
512,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,5.1813,1.3092,3277453.6800,802774.9752,310.7800,2.1240,5.1776,1.3096
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,256,4.3253,2.9700,3247994.1400,944511.6974,465.1300,2.5986,4.3204,2.9708
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,8.1635,1.4154,3241141.3600,712877.9177,465.3200,2.5879,8.1592,1.4142
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,7.7681,1.7541,3166317.8700,883031.7267,465.3600,2.2114,7.7637,1.7545
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.3205,2.1770,3323663.8400,1057134.1472,465.6200,2.2881,7.3155,2.1780
1024,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,3.4744,2.1379,3207645.2300,665921.3659,309.8800,2.3633,3.4694,2.1382
1024,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,5.3018,1.3826,3114965.4200,736638.2073,310.6800,1.9893,5.2974,1.3828
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,256,5.3615,3.0472,3204218.0500,664318.8973,465.4200,2.2189,5.3562,3.0477
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.8706,1.8192,3259531.2700,689184.6594,465.3600,1.9774,7.8651,1.8194
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,7.3109,2.3169,3272165.1800,765906.6951,465.3500,2.4794,7.3063,2.3175
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.6210,1.7820,3315164.2600,1292553.1900,465.7500,2.1324,7.6171,1.7814
2048,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,2.7730,2.0256,3246316.3100,670576.6072,310.3500,2.0414,2.7672,2.0258
2048,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,5.1099,1.3981,3192665.4700,699291.0860,310.4900,2.4062,5.1053,1.3974
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,256,7.8352,1.5343,3216812.0300,769888.5522,465.3300,2.2093,7.8309,1.5349
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.7453,1.7788,3165170.1200,738540.6003,465.5000,2.6324,7.7407,1.7776
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,7.7592,1.7060,3162883.3700,741499.6511,465.5500,2.4794,7.7550,1.7064
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,4.4211,3.0481,3371621.5500,632698.9046,465.2000,2.2759,4.4162,3.0479
4096,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,5.2951,1.3505,3228134.2200,702898.0608,310.6700,2.1774,5.2907,1.3498
4096,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,5.1940,1.2677,3189114.2800,782113.7280,311.1000,1.9570,5.1890,1.2672
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,256,7.6276,1.9341,3158647.4900,709362.1754,465.2900,2.6088,7.6235,1.9339
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.5420,1.9157,3240514.6300,635162.6030,465.5300,2.2954,7.5375,1.9155
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,6.6506,2.5124,3112501.9100,726361.4756,465.4600,2.4836,6.6460,2.5122
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.8322,1.6650,3208254.4300,649560.6791,465.3300,2.3154,7.8287,1.6644
8192,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,4.6606,1.6976,3181596.6000,782346.6595,310.4500,1.9563,4.6563,1.6997
8192,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,4.6303,1.8679,3299031.4300,708918.5436,310.0000,2.3194,4.6256,1.8686
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,256,5.8895,3.0053,3280338.2800,744252.6131,465.5400,2.1882,5.8849,3.0053
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.8193,1.6636,3189870.1600,718048.3572,465.7000,2.0469,7.8153,1.6637
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,7.5099,2.1054,3236814.5600,757290.6894,465.2200,2.3646,7.5054,2.1056
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,4.1107,3.0613,3211942.7100,753796.3432,465.0400,2.4816,4.1058,3.0613
10240,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,3.9023,2.0631,3406669.8100,681885.7594,310.6300,2.2523,3.8978,2.0631
10240,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,5.2109,1.3156,3207213.3000,703563.0018,309.9800,2.2404,5.2070,1.3152
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,256,7.9632,1.5039,3209818.4000,762765.8299,465.3600,2.2249,7.9588,1.5042
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,8.0766,1.3372,3114329.5200,748712.6535,465.4600,2.7218,8.0713,1.3373
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,7.7642,1.7422,3119921.0800,675451.8102,465.4400,2.3593,7.7601,1.7419
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.6034,1.7229,3186843.6800,803693.3640,464.6000,2.5690,7.5992,1.7224
