FileSizeKB,ExecName,VLEN,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,14.1831,7.6562,3176459.6700,696512.2711,2010.3900,3.1556,14.1745,7.6543
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,2.0588,.7951,3375246.0400,661940.9193,465.7500,2.2062,2.0533,.7947
4096,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,3.8309,1.3771,3114161.7500,783589.4368,252.3000,1.9773,3.8237,1.3759
4096,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,4.1659,1.1875,3470568.8500,1735623.6323,252.1100,2.1582,4.1593,1.1874
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,20.5831,4.0104,3230538.7400,1079226.6473,2010.7700,2.6790,20.5728,4.0103
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.8014,1.7025,3188102.1400,785544.7367,465.5700,2.3119,7.7974,1.7022
8192,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,3.8569,1.3029,3026747.1600,780212.7033,251.9800,1.8866,3.8490,1.3029
8192,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,3.6189,1.5682,3132664.5200,767586.6198,252.2100,2.0894,3.6116,1.5677
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,17.5285,6.4518,3058342.8900,740595.4319,2010.3700,2.8130,17.5194,6.4520
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.5617,1.7414,3164568.8300,888129.3424,465.5600,2.3380,7.5574,1.7420
10240,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,1.4380,1.0505,3305184.0100,649039.9524,252.0800,2.1479,1.4323,1.0487
10240,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,1.1305,.3977,3303423.4700,627155.3375,252.2600,1.7923,1.1260,.3969
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,20.5306,4.2411,3029094.6600,744929.5812,2010.2600,2.7950,20.5202,4.2399
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.4877,2.1624,3256768.2600,742261.9894,465.4000,2.4331,7.4836,2.1633
