FileSizeKB,ExecName,VLEN,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,7.7229,1.8947,3208913.7100,744904.5781,465.3500,2.2466,7.7188,1.8949
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.7487,1.8006,3252022.3400,653952.8575,465.7100,2.0846,7.7445,1.8005
512,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,4.1689,2.0025,3301781.8900,602176.9515,310.1700,2.0545,4.1641,2.0029
512,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,5.0910,1.3348,3045635.2300,725734.2367,310.4000,2.1260,5.0863,1.3340
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,20.3557,4.6017,3207708.9900,774021.1919,2008.5900,2.9363,20.3450,4.6014
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.9569,1.4621,3208564.0600,691502.9039,465.5700,2.3032,7.9533,1.4617
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,7.9279,1.6329,3259760.8100,732172.5857,465.5000,2.2737,7.9237,1.6337
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.8839,1.5050,3024167.5100,755505.8081,465.4400,2.2773,7.8795,1.5053
1024,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,4.6120,1.8030,3290875.2100,717721.8191,310.8700,2.0231,4.6081,1.8035
1024,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,5.2344,1.1807,3086514.7100,723555.6873,310.4400,2.1601,5.2297,1.1804
