FileSizeKB,ExecName,VLEN,TaskClock,Cycles,PageFaults,CpuClock
256,spike --isa=rv64gcv_zve32x_vlen=512 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,512,3.3418,4993590.1600,359.8800,3.3374
256,spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,1024,2.1466,5160613.9400,359.9000,2.1420
512,./b3_x86,N/A,3.3304,5400792.0000,266.3200,3.3254
512,./b3_avx2,N/A,3.9952,3427037.7200,266.4200,3.9894
512,spike -m8192 --isa=rv64gcv --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv,N/A,4.8948,4249668.3600,360.5800,4.8888
512,spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,256,6.3688,4371014.7600,359.2400,6.3636
512,spike --isa=rv64gcv_zve32x_vlen=512 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,512,6.0182,4170995.1800,359.9400,6.0124
512,spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,1024,5.9040,4375790.9600,359.2600,5.8992
1024,./b3_x86,N/A,9.8294,5227833.5600,266.6600,9.8218
1024,./b3_avx2,N/A,4.7756,3791834.6600,266.5600,4.7698
1024,spike -m8192 --isa=rv64gcv --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv,N/A,5.2406,4096452.6800,360.8400,5.2348
1024,spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,256,3.1534,5129099.0600,360.2000,3.1486
1024,spike --isa=rv64gcv_zve32x_vlen=512 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,512,5.3014,4227755.1400,359.3200,5.2952
1024,spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,1024,6.1076,4477285.5400,359.8200,6.1024
2048,./b3_x86,N/A,14.8132,6777271.5800,266.4000,14.8044
2048,./b3_avx2,N/A,7.1220,5018192.1400,266.1800,7.1152
2048,spike -m8192 --isa=rv64gcv --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv,N/A,6.1104,4207957.9800,361.1400,6.1052
2048,spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,256,5.8668,4205601.0400,360.0000,5.8608
2048,spike --isa=rv64gcv_zve32x_vlen=512 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,512,6.0050,4328851.5000,359.9000,5.9994
2048,spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,1024,5.8082,4147125.8600,360.0000,5.8024
4096,./b3_x86,N/A,20.5038,5717822.4000,266.1800,20.4938
4096,./b3_avx2,N/A,10.7410,5591863.3400,266.2000,10.7330
4096,spike -m8192 --isa=rv64gcv --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv,N/A,6.0722,4145179.0800,361.2400,6.0662
4096,spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,256,6.3328,4581428.8800,359.6800,6.3264
4096,spike --isa=rv64gcv_zve32x_vlen=512 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,512,6.0774,3948297.3200,359.6200,6.0712
4096,spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,1024,5.3634,4371695.5200,360.0400,5.3580
8192,./b3_x86,N/A,21.0820,12902439.6400,266.8400,21.0734
8192,./b3_avx2,N/A,4.6474,11253514.7800,266.1800,4.6424
8192,spike -m8192 --isa=rv64gcv --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv,N/A,1.8640,4940127.4800,360.3800,1.8590
8192,spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,256,3.5044,5307399.2200,360.1800,3.4980
8192,spike --isa=rv64gcv_zve32x_vlen=512 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,512,6.3640,4324763.0200,359.9000,6.3592
8192,spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,1024,6.0264,4272269.5400,359.8800,6.0212
10240,./b3_x86,N/A,29.3806,5921348.8000,266.4000,29.3676
10240,./b3_avx2,N/A,16.1974,5907557.4800,266.2400,16.1892
10240,spike -m8192 --isa=rv64gcv --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv,N/A,5.7626,4620510.1200,361.0800,5.7570
10240,spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,256,5.6880,4396038.2400,359.8000,5.6814
10240,spike --isa=rv64gcv_zve32x_vlen=512 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,512,2.4700,5022296.2000,359.7200,2.4646
10240,spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./b3_riscv_v,1024,2.0572,5660795.9800,360.0800,2.0534
