FileSizeKB,ExecName,VLEN,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
16,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.7191,2.1138,3231824.3700,725348.0140,465.3700,2.4724,7.7147,2.1135
16,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,5.3766,3.2191,3133037.6300,710565.6699,465.4600,2.4755,5.3716,3.2201
16,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,3.8536,2.9077,3321880.9200,624279.3154,465.7400,2.5322,3.8487,2.9083
32,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,5.1261,1.6325,3275495.1700,674989.1542,327.1000,2.2825,5.1226,1.6331
32,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,5.3796,1.4058,3384554.9800,649434.9586,327.5400,2.1467,5.3755,1.4060
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,10.2165,6.6995,3218705.3200,761540.1783,2008.9000,3.2295,10.2089,6.6981
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,1.8403,.1072,3319031.6700,543090.5322,465.4300,2.3377,1.8339,.1090
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,1.8081,.1100,3228959.7300,661438.5866,465.6500,2.3510,1.8026,.1077
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,5.9183,2.9604,3238335.7200,688591.7269,465.1600,2.6027,5.9144,2.9609
48,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,3.4877,2.2209,3389782.4000,679869.2055,327.0600,2.3100,3.4816,2.2217
48,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,5.3021,1.3203,3183950.0000,761066.9290,327.4900,2.0024,5.2982,1.3205
48,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,20.3914,4.4884,2972270.7800,758532.6281,2009.2500,2.9304,20.3818,4.4877
48,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,4.7147,3.0894,3329607.3600,993321.9248,465.1400,2.1726,4.7096,3.0913
48,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,5.2510,3.1901,3105920.5600,768594.7144,465.8200,2.4673,5.2452,3.1905
48,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,1.9308,.5155,3230385.7300,671226.9125,465.3300,2.3197,1.9247,.5154
64,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,4.4672,2.1667,3216518.6700,701200.0817,328.0400,1.9591,4.4628,2.1675
64,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,5.3462,1.3735,3205698.9100,807327.5473,327.5200,2.1282,5.3416,1.3734
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,20.2482,3.8697,3044136.7500,1177449.5869,2008.6300,2.8518,20.2388,3.8687
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,2.5803,1.9901,3276562.1900,684882.4362,465.2500,2.4954,2.5754,1.9909
