FileSizeKB,ExecName,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
1024,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,5.0445,1.5489,3159652.2600,710296.3942,310.3300,2.0496,5.0407,1.5491
1024,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,5.2024,1.2915,3188952.1000,755575.7031,310.2900,2.1693,5.1985,1.2912
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv,7.0204,1.9143,3268414.3900,700482.1607,419.1200,2.3506,7.0157,1.9149
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv_v,7.3303,1.5305,3169307.8700,762252.5384,419.2600,2.6062,7.3249,1.5302
2048,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,4.8611,1.5671,3251740.5300,689436.6721,310.1200,2.1738,4.8562,1.5663
2048,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,5.3208,1.1643,3340813.8100,674053.1574,310.3900,2.3659,5.3158,1.1638
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv,7.3735,1.8871,3478696.4000,1148122.9593,419.3400,2.4133,7.3688,1.8879
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv_v,7.0364,1.7271,3136683.7700,780553.0646,419.1000,2.3430,7.0319,1.7273
4096,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,4.7494,1.7059,3202557.5000,811104.6364,310.8000,2.0784,4.7440,1.7059
4096,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,5.2051,1.2513,3179836.3500,827123.1006,310.2900,2.3507,5.2008,1.2511
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv,7.0322,1.7417,3160313.2900,778349.5314,419.5600,2.4670,7.0279,1.7426
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv_v,7.0723,1.8319,3252768.9800,751988.8955,418.9200,2.1756,7.0687,1.8318
8192,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,5.2080,1.3639,3331985.5200,638230.8529,310.5000,2.3895,5.2041,1.3641
8192,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,4.9344,1.4355,3185257.6000,701457.3272,310.5000,2.0566,4.9303,1.4352
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv,7.3606,1.6379,3214072.2700,661150.2771,419.3800,2.2126,7.3568,1.6375
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv_v,7.3889,1.5159,3074476.1700,806655.8025,419.2000,2.1954,7.3843,1.5165
10240,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,5.0810,1.4561,3220406.3300,599679.1148,310.4800,2.4227,5.0768,1.4558
10240,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,4.9167,1.5202,3310746.9900,770605.4617,310.6400,1.9053,4.9127,1.5195
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv,7.5211,1.4706,3207462.7200,756668.2689,419.5100,2.2293,7.5169,1.4703
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv_v,7.2362,1.8637,3357873.2900,897395.7021,419.0700,2.3162,7.2314,1.8633
